period,region,sex,e0
2010-2014,Hormigueros,2,83.60032150348188
2015-2019,Hormigueros,2,85.8339005099843
2020-2024,Hormigueros,2,85.95032796392206
1980-1984,Humacao,2,76.90859191059405
1985-1989,Humacao,2,78.19064196394628
1990-1994,Humacao,2,78.73452999541887
1995-1999,Humacao,2,78.66640360461923
2000-2004,Humacao,2,80.26848259216015
2005-2009,Humacao,2,81.59787195823849
2010-2014,Humacao,2,82.9514205790736
2015-2019,Humacao,2,84.40013340243456
2020-2024,Humacao,2,84.49208641221061
1980-1984,Isabela,2,77.68208189926264
1985-1989,Isabela,2,78.10530655605338
1990-1994,Isabela,2,78.28323282073383
1995-1999,Isabela,2,79.03221279320795
2000-2004,Isabela,2,79.83028011153226
2005-2009,Isabela,2,80.66105476475445
2010-2014,Isabela,2,82.38364992201615
2015-2019,Isabela,2,83.96423470998084
2020-2024,Isabela,2,84.60954008362951
1980-1984,Jayuya,2,77.55617615334918
1985-1989,Jayuya,2,77.70063169533242
1990-1994,Jayuya,2,78.35082192120315
1995-1999,Jayuya,2,78.6761711149879
2000-2004,Jayuya,2,80.88312562153735
2005-2009,Jayuya,2,81.70449377399606
2010-2014,Jayuya,2,82.74719577289362
2015-2019,Jayuya,2,84.7074769445748
2020-2024,Jayuya,2,84.77528567744383
1980-1984,Juana Diaz,2,77.1702725823711
1985-1989,Juana Diaz,2,78.04486034246682
1990-1994,Juana Diaz,2,78.25483248199625
1995-1999,Juana Diaz,2,78.56994209557608
2000-2004,Juana Diaz,2,80.13639993996532
2005-2009,Juana Diaz,2,81.41781405042936
2010-2014,Juana Diaz,2,82.68150599073478
2015-2019,Juana Diaz,2,85.27585341666887
2020-2024,Juana Diaz,2,85.02981668422981
1980-1984,Juncos,2,77.59718817748468
1985-1989,Juncos,2,77.92452563363877
1990-1994,Juncos,2,78.58944798243424
1995-1999,Juncos,2,78.95653293236599
2000-2004,Juncos,2,80.44337762362242
2005-2009,Juncos,2,80.8549094967031
2010-2014,Juncos,2,82.55066286091751
2015-2019,Juncos,2,83.72790140555938
2020-2024,Juncos,2,84.40221983648027
1980-1984,Lajas,2,77.92299010875922
1985-1989,Lajas,2,78.02638606230776
1990-1994,Lajas,2,78.97285712048611
1995-1999,Lajas,2,79.39710231239145
2000-2004,Lajas,2,80.71776371701444
2005-2009,Lajas,2,81.53534145252249
2010-2014,Lajas,2,83.05290830107637
2015-2019,Lajas,2,84.4287702271043
2020-2024,Lajas,2,85.08142563468795
1980-1984,Lares,2,79.15660197728023
1985-1989,Lares,2,79.26388425955138
1990-1994,Lares,2,78.95309420763371
1995-1999,Lares,2,80.21565559024062
2000-2004,Lares,2,81.38397161957369
2005-2009,Lares,2,82.05627489549325
2010-2014,Lares,2,82.65167487082209
2015-2019,Lares,2,84.54614054884343
2020-2024,Lares,2,84.75454352496082
1980-1984,Las Marias,2,79.8057468626182
1985-1989,Las Marias,2,79.59211100834004
1990-1994,Las Marias,2,80.12060082157937
1995-1999,Las Marias,2,80.51381315074735
2000-2004,Las Marias,2,81.97257853865284
2005-2009,Las Marias,2,82.92482726169811
2010-2014,Las Marias,2,84.13010688855124
2015-2019,Las Marias,2,85.47929796906912
2020-2024,Las Marias,2,86.16179679690647
1980-1984,Las Piedras,2,78.27858481750003
1985-1989,Las Piedras,2,78.96117700834657
1990-1994,Las Piedras,2,78.97537402032114
1995-1999,Las Piedras,2,79.68127984531309
2000-2004,Las Piedras,2,80.61109829288544
2005-2009,Las Piedras,2,82.1794956109099
2010-2014,Las Piedras,2,82.70941850967493
2015-2019,Las Piedras,2,84.88380382645568
2020-2024,Las Piedras,2,84.75018822850897
1980-1984,Loiza,2,78.86282962711468
1985-1989,Loiza,2,79.59599978908355
1990-1994,Loiza,2,79.28239213180787
1995-1999,Loiza,2,80.29372557492658
2000-2004,Loiza,2,82.24978270283886
2005-2009,Loiza,2,82.30635296307516
2010-2014,Loiza,2,83.62484664363457
2015-2019,Loiza,2,85.22972147723708
2020-2024,Loiza,2,85.61388874616215
1980-1984,Luquillo,2,78.37990391171039
1985-1989,Luquillo,2,77.3787675508399
1990-1994,Luquillo,2,78.28099506451007
1995-1999,Luquillo,2,78.33059093904177
2000-2004,Luquillo,2,80.36858630921367
2005-2009,Luquillo,2,80.7149050804883
2010-2014,Luquillo,2,82.62902865921608
2015-2019,Luquillo,2,84.52002325135011
2020-2024,Luquillo,2,84.36970946353006
1980-1984,Manati,2,77.44250392360924
1985-1989,Manati,2,78.14727977481333
1990-1994,Manati,2,78.31589750494712
1995-1999,Manati,2,78.65310701238275
2000-2004,Manati,2,80.08270242255097
2005-2009,Manati,2,81.31795916986984
2010-2014,Manati,2,82.29196967592725
2015-2019,Manati,2,84.27716302591799
2020-2024,Manati,2,84.54488405221906
1980-1984,Maricao,2,78.68480773682357
1985-1989,Maricao,2,79.12055395711192
1990-1994,Maricao,2,79.43209978991173
1995-1999,Maricao,2,79.86982043627215
2000-2004,Maricao,2,81.23359947180475
2005-2009,Maricao,2,82.36013198977989
2010-2014,Maricao,2,83.84769956684985
2015-2019,Maricao,2,85.32527039127544
2020-2024,Maricao,2,84.65780477536504
1980-1984,Maunabo,2,78.65878401568281
1985-1989,Maunabo,2,79.24757390749663
1990-1994,Maunabo,2,79.78401120995038
1995-1999,Maunabo,2,79.80568656560442
2000-2004,Maunabo,2,81.3111758552954
2005-2009,Maunabo,2,82.5266943320047
2010-2014,Maunabo,2,83.8418012614863
2015-2019,Maunabo,2,85.0281571897389
2020-2024,Maunabo,2,84.03642104197664
1980-1984,Mayaguez,2,77.542935214844
1985-1989,Mayaguez,2,78.00652116472676
1990-1994,Mayaguez,2,78.5774933226122
1995-1999,Mayaguez,2,79.50378872845346
2000-2004,Mayaguez,2,81.0282834155337
2005-2009,Mayaguez,2,81.53262051698044
2010-2014,Mayaguez,2,82.91625704698284
2015-2019,Mayaguez,2,84.93616824430828
2020-2024,Mayaguez,2,85.02382101630998
1980-1984,Moca,2,78.09523827625107
1985-1989,Moca,2,78.59432613273201
1990-1994,Moca,2,78.94713300136915
1995-1999,Moca,2,79.31715084380545
2000-2004,Moca,2,80.95181660091572
2005-2009,Moca,2,81.64422418397257
2010-2014,Moca,2,82.53551032393526
2015-2019,Moca,2,84.75650680116027
2020-2024,Moca,2,84.7314422160786
1980-1984,Morovis,2,79.05328204516654
1985-1989,Morovis,2,79.10313144301774
1990-1994,Morovis,2,79.37620953292459
1995-1999,Morovis,2,80.26661155877339
2000-2004,Morovis,2,81.60200635489107
2005-2009,Morovis,2,82.46022971483191
2010-2014,Morovis,2,83.21649459658632
2015-2019,Morovis,2,85.506788647868
2020-2024,Morovis,2,85.44473446801925
1980-1984,Naguabo,2,77.07134133627649
1985-1989,Naguabo,2,77.50890010715707
1990-1994,Naguabo,2,78.04459122855698
1995-1999,Naguabo,2,77.88936803146606
2000-2004,Naguabo,2,80.02550523021624
2005-2009,Naguabo,2,80.88381705780938
2010-2014,Naguabo,2,82.23021546656595
2015-2019,Naguabo,2,83.94995874495099
2020-2024,Naguabo,2,83.6793068419029
1980-1984,Naranjito,2,79.9913065514262
1985-1989,Naranjito,2,80.15699862237855
1990-1994,Naranjito,2,80.42353813102618
1995-1999,Naranjito,2,80.73801032405883
2000-2004,Naranjito,2,81.91736996407039
2005-2009,Naranjito,2,82.3951751060136
2010-2014,Naranjito,2,83.83512949942347
2015-2019,Naranjito,2,86.17812847026303
2020-2024,Naranjito,2,85.48739341811034
1980-1984,Orocovis,2,79.20700095945504
1985-1989,Orocovis,2,80.200714266433
1990-1994,Orocovis,2,80.03927409263962
1995-1999,Orocovis,2,80.0986132773666
2000-2004,Orocovis,2,81.9944279809733
2005-2009,Orocovis,2,81.99983970416
2010-2014,Orocovis,2,83.45862693164612
2015-2019,Orocovis,2,85.19662467618734
2020-2024,Orocovis,2,85.01451743555732
1980-1984,Patillas,2,78.00911089170798
1985-1989,Patillas,2,78.71180625182407
1990-1994,Patillas,2,78.75307002103227
1995-1999,Patillas,2,78.86636127494512
2000-2004,Patillas,2,80.76819995815123
2005-2009,Patillas,2,81.67498005074745
2010-2014,Patillas,2,83.07586098591513
2015-2019,Patillas,2,85.00786934540591
2020-2024,Patillas,2,85.11992729548994
1980-1984,Penuelas,2,77.41349446753624
1985-1989,Penuelas,2,77.8439116238086
1990-1994,Penuelas,2,78.01902310132598
1995-1999,Penuelas,2,78.45448192673298
2000-2004,Penuelas,2,80.16615351636565
2005-2009,Penuelas,2,81.59731189899861
2010-2014,Penuelas,2,82.0567537371305
2015-2019,Penuelas,2,83.36315239892234
2020-2024,Penuelas,2,83.45015966984283
1980-1984,Ponce,2,77.6130563021948
1985-1989,Ponce,2,77.48057263186655
1990-1994,Ponce,2,78.09089061539827
1995-1999,Ponce,2,78.77965739835037
2000-2004,Ponce,2,80.08958707404942
2005-2009,Ponce,2,81.53212360511829
2010-2014,Ponce,2,82.09226294145701
2015-2019,Ponce,2,84.57705183354176
2020-2024,Ponce,2,84.15291860214407
1980-1984,Puerto Rico,2,78.24467532518175
1985-1989,Puerto Rico,2,78.66487623165915
1990-1994,Puerto Rico,2,79.01401721261527
1995-1999,Puerto Rico,2,79.47577947367483
2000-2004,Puerto Rico,2,81.09089037942405
2005-2009,Puerto Rico,2,82.06259255175716
2010-2014,Puerto Rico,2,83.22932296845262
2015-2019,Puerto Rico,2,84.86533023352025
2020-2024,Puerto Rico,2,84.92007965320285
1980-1984,Quebradillas,2,78.00469969995301
1985-1989,Quebradillas,2,77.70752658117937
1990-1994,Quebradillas,2,78.42527205815303
1995-1999,Quebradillas,2,78.69054253669056
2000-2004,Quebradillas,2,79.94298278546928
2005-2009,Quebradillas,2,81.64100804805773
2010-2014,Quebradillas,2,82.56000952093979
2015-2019,Quebradillas,2,83.56607145135986
2020-2024,Quebradillas,2,83.98850048286796
1980-1984,Rincon,2,78.75101496459422
1985-1989,Rincon,2,79.05155972755699
1990-1994,Rincon,2,79.48814097134812
1995-1999,Rincon,2,80.12888467808551
2000-2004,Rincon,2,81.83727620041498
2005-2009,Rincon,2,81.78559142173904
2010-2014,Rincon,2,83.68626320909587
2015-2019,Rincon,2,85.61575466498279
2020-2024,Rincon,2,85.55242059787871
1980-1984,Rio Grande,2,78.023554691465
1985-1989,Rio Grande,2,78.54602341560272
1990-1994,Rio Grande,2,79.11328597281015
1995-1999,Rio Grande,2,78.961123046036107
2000-2004,Rio Grande,2,80.96027372400049
2005-2009,Rio Grande,2,81.89199826928467
2010-2014,Rio Grande,2,82.43558417618112
2015-2019,Rio Grande,2,84.52995351355892
2020-2024,Rio Grande,2,85.16100458226192
1980-1984,Sabana Grande,2,77.37687806946377
1985-1989,Sabana Grande,2,78.37052461198903
1990-1994,Sabana Grande,2,77.88196364298867
1995-1999,Sabana Grande,2,78.08417711323122
2000-2004,Sabana Grande,2,80.38366275751902
2005-2009,Sabana Grande,2,81.09935955172477
2010-2014,Sabana Grande,2,82.61881312757019
2015-2019,Sabana Grande,2,83.35813946389301
2020-2024,Sabana Grande,2,84.34987190727722
1980-1984,Salinas,2,77.56908336129464
1985-1989,Salinas,2,77.61448201235375
1990-1994,Salinas,2,78.27097229670503
1995-1999,Salinas,2,79.00034859641512
2000-2004,Salinas,2,80.4280713715999
2005-2009,Salinas,2,81.18792237937524
2010-2014,Salinas,2,83.07394473491976
2015-2019,Salinas,2,84.55389788101408
