year,fips3,municipio,sex,agegrp,population
2009,1,Adjuntas,1,10,624
2000,1,Adjuntas,1,11,523
2001,1,Adjuntas,1,11,531
2002,1,Adjuntas,1,11,536
2003,1,Adjuntas,1,11,541
2004,1,Adjuntas,1,11,551
2005,1,Adjuntas,1,11,561
2006,1,Adjuntas,1,11,573
2007,1,Adjuntas,1,11,590
2008,1,Adjuntas,1,11,604
2009,1,Adjuntas,1,11,617
2000,1,Adjuntas,1,12,435
2001,1,Adjuntas,1,12,462
2002,1,Adjuntas,1,12,490
2003,1,Adjuntas,1,12,514
2004,1,Adjuntas,1,12,536
2005,1,Adjuntas,1,12,557
2006,1,Adjuntas,1,12,564
2007,1,Adjuntas,1,12,567
2008,1,Adjuntas,1,12,571
2009,1,Adjuntas,1,12,579
2000,1,Adjuntas,1,13,357
2001,1,Adjuntas,1,13,369
2002,1,Adjuntas,1,13,388
2003,1,Adjuntas,1,13,405
2004,1,Adjuntas,1,13,425
2005,1,Adjuntas,1,13,448
2006,1,Adjuntas,1,13,477
2007,1,Adjuntas,1,13,505
2008,1,Adjuntas,1,13,527
2009,1,Adjuntas,1,13,545
2000,1,Adjuntas,1,14,292
2001,1,Adjuntas,1,14,303
2002,1,Adjuntas,1,14,317
2003,1,Adjuntas,1,14,329
2004,1,Adjuntas,1,14,343
2005,1,Adjuntas,1,14,350
2006,1,Adjuntas,1,14,358
2007,1,Adjuntas,1,14,370
2008,1,Adjuntas,1,14,384
2009,1,Adjuntas,1,14,397
2000,1,Adjuntas,1,15,230
2001,1,Adjuntas,1,15,236
2002,1,Adjuntas,1,15,240
2003,1,Adjuntas,1,15,245
2004,1,Adjuntas,1,15,250
2005,1,Adjuntas,1,15,265
2006,1,Adjuntas,1,15,272
2007,1,Adjuntas,1,15,279
2008,1,Adjuntas,1,15,287
2009,1,Adjuntas,1,15,295
2000,1,Adjuntas,1,16,162
2001,1,Adjuntas,1,16,170
2002,1,Adjuntas,1,16,177
2003,1,Adjuntas,1,16,184
2004,1,Adjuntas,1,16,191
2005,1,Adjuntas,1,16,195
2006,1,Adjuntas,1,16,203
2007,1,Adjuntas,1,16,213
2008,1,Adjuntas,1,16,222
2009,1,Adjuntas,1,16,229
2000,1,Adjuntas,1,17,127
2001,1,Adjuntas,1,17,127
2002,1,Adjuntas,1,17,132
2003,1,Adjuntas,1,17,133
2004,1,Adjuntas,1,17,132
2005,1,Adjuntas,1,17,136
2006,1,Adjuntas,1,17,134
2007,1,Adjuntas,1,17,135
2008,1,Adjuntas,1,17,136
2009,1,Adjuntas,1,17,136
2000,1,Adjuntas,1,18,117
2001,1,Adjuntas,1,18,114
2002,1,Adjuntas,1,18,112
2003,1,Adjuntas,1,18,110
2004,1,Adjuntas,1,18,110
2005,1,Adjuntas,1,18,110
2006,1,Adjuntas,1,18,110
2007,1,Adjuntas,1,18,111
2008,1,Adjuntas,1,18,111
2009,1,Adjuntas,1,18,112
2000,1,Adjuntas,2,0,9785
2001,1,Adjuntas,2,0,9851
2002,1,Adjuntas,2,0,9913
2003,1,Adjuntas,2,0,9960
2004,1,Adjuntas,2,0,10007
2005,1,Adjuntas,2,0,10033
2006,1,Adjuntas,2,0,10032
2007,1,Adjuntas,2,0,10010
2008,1,Adjuntas,2,0,9991
2009,1,Adjuntas,2,0,9968
2000,1,Adjuntas,2,1,736
2001,1,Adjuntas,2,1,729
2002,1,Adjuntas,2,1,720
2003,1,Adjuntas,2,1,703
2004,1,Adjuntas,2,1,688
