period,region,sex,e0
2010-2014,Canovanas,1,75.3254133219271
2010-2014,Canovanas,2,81.891867201039
2015-2019,Canovanas,1,76.83782820206422
2015-2019,Canovanas,2,83.33444064502119
2020-2024,Canovanas,1,76.78956288924579
2020-2024,Canovanas,2,83.2831327547911
1980-1984,Carolina,1,72.41149775848815
1980-1984,Carolina,2,79.11529550537668
1985-1989,Carolina,1,72.45121701558867
1985-1989,Carolina,2,79.15427969382154
1990-1994,Carolina,1,72.50223424436372
1990-1994,Carolina,2,79.20458995369688
1995-1999,Carolina,1,72.92580873891856
1995-1999,Carolina,2,79.60483115913067
2000-2004,Carolina,1,74.7608015329122
2000-2004,Carolina,2,81.35397879789213
2005-2009,Carolina,1,75.67904086297716
2005-2009,Carolina,2,82.22855924852082
2010-2014,Carolina,1,76.79049285342172
2010-2014,Carolina,2,83.2908470196835
2015-2019,Carolina,1,78.29200353695889
2015-2019,Carolina,2,84.72025289063772
2020-2024,Carolina,1,78.23925657394102
2020-2024,Carolina,2,84.67580709866337
1980-1984,Catano,1,69.57674592867517
1980-1984,Catano,2,76.4280730569304
1985-1989,Catano,1,69.61809374723403
1985-1989,Catano,2,76.46544016720365
1990-1994,Catano,1,69.66908234611998
1990-1994,Catano,2,76.51658789744884
1995-1999,Catano,1,70.10152727913983
1995-1999,Catano,2,76.91960275432764
2000-2004,Catano,1,71.97520111939612
2000-2004,Catano,2,78.69899095296745
2005-2009,Catano,1,72.91268423399784
2005-2009,Catano,2,79.59267777174603
2010-2014,Catano,1,74.05272239767011
2010-2014,Catano,2,80.67444347928308
2015-2019,Catano,1,75.58262859361221
2015-2019,Catano,2,82.13196692642138
2020-2024,Catano,1,75.53293410162632
2020-2024,Catano,2,82.08268144788728
1980-1984,Cayey,1,71.71994107944111
1980-1984,Cayey,2,78.46042514199823
1985-1989,Cayey,1,71.7606931837952
1985-1989,Cayey,2,78.49581103438716
1990-1994,Cayey,1,71.81167319356467
1990-1994,Cayey,2,78.54687636904231
1995-1999,Cayey,1,72.23615596620168
1995-1999,Cayey,2,78.95046350259052
2000-2004,Cayey,1,74.0805132093318
2000-2004,Cayey,2,80.70440642618976
2005-2009,Cayey,1,75.0041643390675
2005-2009,Cayey,2,81.586692575826
2010-2014,Cayey,1,76.12497092296822
2010-2014,Cayey,2,82.64846042069769
2015-2019,Cayey,1,77.62937262027357
2015-2019,Cayey,2,84.0906136850749
2020-2024,Cayey,1,77.58133088617419
2020-2024,Cayey,2,84.04484711657109
1980-1984,Ceiba,1,71.52189300684996
1980-1984,Ceiba,2,78.2756722671433
1985-1989,Ceiba,1,71.56297281672079
1985-1989,Ceiba,2,78.31208291342216
1990-1994,Ceiba,1,71.61213403365471
1990-1994,Ceiba,2,78.35816116472137
1995-1999,Ceiba,1,72.03746623161591
1995-1999,Ceiba,2,78.7576854441222
2000-2004,Ceiba,1,73.88630004520653
2000-2004,Ceiba,2,80.51908742516093
2005-2009,Ceiba,1,74.81107604267586
2005-2009,Ceiba,2,81.40197549928406
2010-2014,Ceiba,1,75.9345016041106
2010-2014,Ceiba,2,82.46812184688942
2015-2019,Ceiba,1,77.43929622326995
2015-2019,Ceiba,2,83.90813648360945
2020-2024,Ceiba,1,77.39141568674012
2020-2024,Ceiba,2,83.85115763611458
1980-1984,Ciales,1,72.61551479789088
1980-1984,Ciales,2,79.3078995988795
1985-1989,Ciales,1,72.65805522672838
1985-1989,Ciales,2,79.34661609642066
1990-1994,Ciales,1,72.70603551614226
1990-1994,Ciales,2,79.3937767285277
1995-1999,Ciales,1,73.12777097799135
1995-1999,Ciales,2,79.79663430228943
2000-2004,Ciales,1,74.96259619424839
2000-2004,Ciales,2,81.54110370756875
2005-2009,Ciales,1,75.87721608162816
2005-2009,Ciales,2,82.4130106253552
2010-2014,Ciales,1,76.9871187939532
2010-2014,Ciales,2,83.47833991224974
2015-2019,Ciales,1,78.48411282701535
2015-2019,Ciales,2,84.90897957258684
2020-2024,Ciales,1,78.43712779187801
2020-2024,Ciales,2,84.8592388419169
1980-1984,Cidra,1,73.29454239989408
1980-1984,Cidra,2,79.94983621627034
1985-1989,Cidra,1,73.33492112743622
1985-1989,Cidra,2,79.99446469612388
